#OTU ID	sample13	sample14	sample15
55a3b3b66eb1d13cf1e9d43f843987c6	5	0	0
a2d62443fd2b65934367891c1c04c298	7	0	0
de495f0bb1563f86f05572c88a758fac	3	7	0
8e3cbe6c44eb904a2fb92de20bb50cb4	2	0	0
73c7088cdc6ad24fa28ab1d44df3cc1a	2	0	0
623f7372b6388525a20df6da0baf38fc	0	2	0
b9c48e848951f82b4e7ae33b815dd7b3	5	0	0
55dc549b9a42a17c54fb3b0e03c3e924	0	0	6
16c40f218e86cabd727e06a9de9c1c6c	0	0	2
54981894f802766863b7ce223072e45c	55	0	13
cc8ba55359717713c495a8d708d052f5	0	0	14
56570b016a7e239568d6f122784313b2	26	0	0
de5a7057d4b44a503229c19bf8814620	0	7	0
a34ca7b119450de5291799d25a9d5dd1	15	0	0
0465be42f0b31a5ca1d1b66e0b5b1e5c	4	0	0
8e2cb3a2ee5f70a6bc52618216cf0598	7	0	0
73cfb1a35baa3687cc3f8ae6331ce601	0	8	0
b0b702ab3d8d6f10f4bbe7f99341c695	4	0	0
5c0d08262b90e681fc0691476c5cfdcf	734	22	0
2df4e15486e6a5a4d7a354048ca12415	7	0	0
67481d77a582539e01306f286ad5f25b	15	110	11
0e3251378fef74d85a1a4351b32c6e0d	0	0	3
b4d44f76c2dbab36c5770cd4800c0ec8	0	2	0
794a7dcad09028a09512b1a2c1ee0637	0	0	2
9a621588a3cc341b84091d09fddb426e	285	0	96
8a05d9a889725a2e064d2ff283aaebf3	24	0	0
ba787cb60028e59bbc0ed8a82b4a1631	21	13	13
e7be3d154c6bfc174abb45995a977206	0	56	0
b0333fef59e0f25ef3789002c074fc0c	0	0	6
76267ef493da0f63ef73934baf99cd21	2	0	0
64d63604fcdfce8ab1eea7f5f28653fe	0	12	0
7e9ddf7b9892c24e802c797856a5eeda	0	0	6
d56b9fa0bc20b9a844d110662d8d83f5	3	0	0
ab6eaa4c5be801a43e4c5c0d02c94952	0	0	3
6505b724a88e85d78ef689a5e3cd8cb3	0	2	0
82b9429bbba2396b96046e64c0a25384	0	0	12
df1441c093753dbdce9cca2d5f5b0f73	0	13	0
75ba8a28f72d98029eb911ce41e2e667	2	0	0
7f976514358b0fd40af778930d76e5d6	0	4	0
3c1a2c16afd8aa604eeb2e1bd873c31c	2	0	0
1da4498676a771b3a3229b784602cf4d	0	4	0
b62cd7e63ce73aace189bfe8f77ef688	0	0	6
700e7cb4a2f501c1e579826b56f74743	0	0	4
9ab7ddeb3ede07df83ae5247f4d3883a	19	0	0
282d7a89e26a6ee84cec994e831f8eb2	0	3	0
aa8a12c51ba1f529bf301aa1f65ebac2	3	0	0
0e785b4c4dd1b0d0bdba00b631f80d55	0	0	4
214bfbe8d3d6d2d97f9947a2da07375c	2	0	0
3c86d705b70b22ac18aa13fd0bf3a911	0	2	0
9468f79de62a2ab1c20fce92d1283cc9	13	0	0
5384d789cf4abf0ea2bbd2ed3700f739	0	0	2
6289bc920d652e8fab074036fe97a249	0	7	0
fcc86ad2ed626746c5a9991422838104	2	0	0
2be7090aeca8c55b28f5066abb3bf74e	0	3	0
52f679b0fb530601eab1b095bcf2af67	0	2	0
0ece63342f14cfd8474b3acb9b0ee640	0	0	3
858038b148e90f1afa129e8d207a7223	0	6	0
1a79deda5c9dcd8d9d503d49bb31a26d	2	0	0
77f2a330d4e8c225f6b4ccf83d5b3e71	0	0	2
40707952b0cff00a43a2e097c73190b0	0	2	0
3d2d353104387d99a120abfb2aa55765	19	0	0
779e1f1f2e44ba80da9d1d1601ea407d	4	0	0
9bad01ecfd0a7ce5068d1069a74f5178	0	2	0
50219af7bd4d8f2f48f6af0ac22d8a42	7	8	0
386e3d7ac8c98ce1cfc06f68ead75f02	0	2	0
140eb19a2a1f86f98af6cbaf13742dd1	0	4	0
1030318f1a0d3eafac6192f2927dd585	4	0	0
2f560dfd3a63778dd0fbf5ed7aea4d8a	0	6	0
b274d3ec899d5a46438146a442f19ba6	0	4	0
988d3b05057012267148ccbcd7de12b1	5	0	0
29f406679b43fb18bccb479bb9d71d0f	0	6	0
8e5e150f23bfddc9ea04f0a6c5fe8419	4	0	0
5fe329ab78099b0cf167203db30ff23c	2	0	0
33376a9350dc56c5019f6c38778ca13f	3	0	0
ecf18bab01d3d198adedd46885d96bff	0	0	2
540e354afc859cc489fd471a76e6a784	0	2	0
bff84669ebcd7b2a445747d7de839164	2	0	0
6ea3e967d56211102d7de527cb23f2f9	0	0	2
0e315dff96323f9e46f4a7e841453fe1	6	0	0
a726be2a9437848930bfe1c42c906e70	0	0	8
fc8f9fba74d617155e024187786322ad	4	0	0
59a4a1cac97a77d928e42ceef7282892	0	0	10
0a614db7734bed5fcde820a51fbae094	0	19	0
ed9f031bf17e1ec9974dbc3a3b102b3d	12	30	19
62ca930171117170b3245d66c176adcf	5	7	0
72e0050a253492128df440bad366ed85	0	2	0
1ad80ab6a550ca118a4304e5d4070ab3	18	3	7
eaf945521c08bc87f34e021eead21417	11	35	19
e4f8dcae12edabb359427239de95180e	13	0	0
0277f58859b0da2529ee04027627f24f	17	0	0
58db03159f2b9e2d0866151bc534bdc1	0	28	11
bb1004c0d0cc4019a3ab8746a4595eea	21	0	0
578abda3b3cdf363e1fdee49105fe969	0	0	14
6e8591253397823116b50a1164f6ed32	23	33	14
56fc48d429aa7fd8f79f081bccc82e66	0	5	0
54f9d45ebe3c73f54132b2f1eb066039	0	6	3
ae5e99d005282350ce1f131f0f4aa4c3	41	38	0
42016433985454f3186dde297fc37eb6	0	13	0
f5c016a49dce1c36648018c75bd5838d	0	36	23
6d1077459ccb01eeace99e9efc3f8d49	17	23	0
4e2d0baae4086a5f74e74e70bb12bf03	0	15	7
3cd5528177788b43960cf1fbbac6c08c	46	0	0
6ace4e7664815b50cab6e2db8056b113	0	0	89
9fb50a32a737170fe6d700455d7e81a6	0	35	39
5abeb1a42458331892dc31bfcd611d0c	31	43	0
71569aec73fab212c59e4ba2a59f78b2	0	0	38
80892afa4b168fd8a7852be5d883bd3c	29	58	34
f0dcfcc7583f36e2e332311d8d435e19	29	3	9
1237d1c08ca2624c522aaf2836115313	0	0	9
ad5df7325a029de3dbc86a2b0e00d131	8	0	5
16d6f620a8fd1ae80842c55602da12f1	0	8	0
114ed3d8b9268916d2d4fc5ef340547c	11	24	0
0328ee99ccdc804ce9f6e90a3243849f	0	0	16
4287f9128329cdf3a30826b67cc0126c	0	31	0
60be511662c5e56ef65820597b6b9e20	17	0	0
4a0b292ba716582f9af46694458c0b9b	0	0	32
a408344c4139f95efd0c698d0a0532ad	0	0	74
93e472623a0f77055e27c7d4590a5214	0	4	0
cec9c691d7829a2398f9b17b5e7a017d	0	0	4
c2e96943245c206699b3d4dc473ac72d	0	32	29
5db71146c1aabe66937edba2c79c9940	0	13	0
c66d39333c68d36051fe22821e338916	0	0	5
4d8e2ad2d26d6526e4693904cb8f2015	0	18	0
4e3755dfbc2ba8e15b3697a757d51e00	35	71	26
ee3af1bc9599fdb89cfc8e59e4318802	5	0	0
63f3ef8d5630be1b78efd960c93b16de	7	0	0
443c144feb447e03e88d132eab73bf52	0	15	0
92511ef4ebc6b40652d363480e51a33c	9	0	0
127e08cbd5097f5278bb4fc01fcd3b95	0	4	0
7d1beb86cac17c036aca6cafdad828ec	0	8	0
b32bb64868ba79c3ba72b6bbfd302649	0	4	0
e1a98b2c93bccde5ebe4ab557180b7fb	0	0	3
83497c50611683c8966e25716ff31d82	3	0	0
